Date,Currency,Event
30/04/2025,JPY,Monetary Policy
01/05/2025,JPY,Monetary Policy
06/05/2025,USD,Monetary Policy
06/05/2025,EUR,Monetary Policy
06/05/2025,PLN,Monetary Policy
07/05/2025,EUR,Monetary Policy
07/05/2025,CZK,Monetary Policy
07/05/2025,USD,Monetary Policy
08/05/2025,NOK,Monetary Policy
08/05/2025,GBP,Monetary Policy
19/05/2025,AUD,Monetary Policy
20/05/2025,AUD,Monetary Policy
29/05/2025,ZAR,Monetary Policy
03/06/2025,PLN,Monetary Policy
04/06/2025,EUR,Monetary Policy
04/06/2025,CAD,Monetary Policy
05/06/2025,EUR,Monetary Policy
16/06/2025,JPY,Monetary Policy
17/06/2025,JPY,Monetary Policy
17/06/2025,USD,Monetary Policy
17/06/2025,SEK,Monetary Policy
18/06/2025,BRL,Monetary Policy
18/06/2025,USD,Monetary Policy
19/06/2025,GBP,Monetary Policy
19/06/2025,NOK,Monetary Policy
19/06/2025,CHF,Monetary Policy
25/06/2025,CZK,Monetary Policy
25/06/2025,HUF,Monetary Policy
01/07/2025,PLN,Monetary Policy
07/07/2025,AUD,Monetary Policy
08/07/2025,AUD,Monetary Policy
23/07/2025,EUR,Monetary Policy
24/07/2025,ZAR,Monetary Policy
24/07/2025,EUR,Monetary Policy
29/07/2025,USD,Monetary Policy
30/07/2025,JPY,Monetary Policy
30/07/2025,USD,Monetary Policy
30/07/2025,CAD,Monetary Policy
31/07/2025,JPY,Monetary Policy
06/08/2025,BRL,Monetary Policy
07/08/2025,CZK,Monetary Policy
07/08/2025,GBP,Monetary Policy
11/08/2025,AUD,Monetary Policy
12/08/2025,AUD,Monetary Policy
13/08/2025,NZD,Monetary Policy
14/08/2025,NOK,Monetary Policy
26/08/2025,PLN,Monetary Policy
02/09/2025,PLN,Monetary Policy
03/09/2025,SEK,Monetary Policy
10/09/2025,EUR,Monetary Policy
11/09/2025,EUR,Monetary Policy
16/09/2025,USD,Monetary Policy
17/09/2025,BRL,Monetary Policy
17/09/2025,CAD,Monetary Policy
17/09/2025,USD,Monetary Policy
18/09/2025,GBP,Monetary Policy
18/09/2025,JPY,Monetary Policy
19/09/2025,JPY,Monetary Policy
19/09/2025,ZAR,Monetary Policy
23/09/2025,HUF,Monetary Policy
24/09/2025,CZK,Monetary Policy
25/09/2025,CHF,Monetary Policy
25/09/2025,NOK,Monetary Policy
29/09/2025,AUD,Monetary Policy
30/09/2025,AUD,Monetary Policy
01/10/2025,NZD,Monetary Policy
07/10/2025,PLN,Monetary Policy
28/10/2025,USD,Monetary Policy
29/10/2025,EUR,Monetary Policy
29/10/2025,JPY,Monetary Policy
29/10/2025,CAD,Monetary Policy
29/10/2025,BRL,Monetary Policy
29/10/2025,USD,Monetary Policy
30/10/2025,EUR,Monetary Policy
30/10/2025,JPY,Monetary Policy
03/11/2025,AUD,Monetary Policy
04/11/2025,AUD,Monetary Policy
04/11/2025,PLN,Monetary Policy
06/11/2025,CZK,Monetary Policy
06/11/2025,NOK,Monetary Policy
06/11/2025,GBP,Monetary Policy
21/11/2025,ZAR,Monetary Policy
26/11/2025,SEK,Monetary Policy
26/11/2025,NZD,Monetary Policy
02/12/2025,PLN,Monetary Policy
08/12/2025,AUD,Monetary Policy
09/12/2025,USD,Monetary Policy
09/12/2025,AUD,Monetary Policy
10/12/2025,BRL,Monetary Policy
10/12/2025,USD,Monetary Policy
10/12/2025,CAD,Monetary Policy
11/12/2025,NOK,Monetary Policy
11/12/2025,CHF,Monetary Policy
16/12/2025,HUF,Monetary Policy
17/12/2025,SEK,Monetary Policy
17/12/2025,EUR,Monetary Policy
18/12/2025,GBP,Monetary Policy
18/12/2025,JPY,Monetary Policy
18/12/2025,EUR,Monetary Policy
18/12/2025,CZK,Monetary Policy
19/12/2025,JPY,Monetary Policy
21/01/2026,BRL,Monetary Policy
23/01/2026,ZAR,Monetary Policy
04/03/2026,BRL,Monetary Policy
20/03/2026,ZAR,Monetary Policy
15/04/2026,BRL,Monetary Policy
13/05/2025,USD,CPI
11/06/2025,USD,CPI
15/07/2025,USD,CPI
12/08/2025,USD,CPI
11/09/2025,USD,CPI
15/10/2025,USD,CPI
13/11/2025,USD,CPI
11/12/2025,USD,CPI
15/01/2026,USD,CPI
12/02/2026,USD,CPI
12/03/2026,USD,CPI
10/04/2026,USD,CPI
21/05/2025,GBP,CPI
19/06/2025,GBP,CPI
17/07/2025,GBP,CPI
21/08/2025,GBP,CPI
18/09/2025,GBP,CPI
16/10/2025,GBP,CPI
20/11/2025,GBP,CPI
18/12/2025,GBP,CPI
22/01/2026,GBP,CPI
19/02/2026,GBP,CPI
19/03/2026,GBP,CPI
16/04/2026,GBP,CPI
31/05/2025,EUR,CPI
30/06/2025,EUR,CPI
31/07/2025,EUR,CPI
30/08/2025,EUR,CPI
30/09/2025,EUR,CPI
31/10/2025,EUR,CPI
30/11/2025,EUR,CPI
31/12/2025,EUR,CPI
31/01/2026,EUR,CPI
28/02/2026,EUR,CPI
31/03/2026,EUR,CPI
30/04/2026,EUR,CPI
24/05/2025,JPY,CPI
21/06/2025,JPY,CPI
19/07/2025,JPY,CPI
23/08/2025,JPY,CPI
20/09/2025,JPY,CPI
18/10/2025,JPY,CPI
22/11/2025,JPY,CPI
20/12/2025,JPY,CPI
24/01/2026,JPY,CPI
21/02/2026,JPY,CPI
21/03/2026,JPY,CPI
18/04/2026,JPY,CPI
05/05/2025,CHF,CPI
03/06/2025,CHF,CPI
03/07/2025,CHF,CPI
05/08/2025,CHF,CPI
03/09/2025,CHF,CPI
03/10/2025,CHF,CPI
05/11/2025,CHF,CPI
03/12/2025,CHF,CPI
07/01/2026,CHF,CPI
04/02/2026,CHF,CPI
04/03/2026,CHF,CPI
02/04/2026,CHF,CPI
29/05/2025,AUD,CPI
26/06/2025,AUD,CPI
31/07/2025,AUD,CPI
28/08/2025,AUD,CPI
25/09/2025,AUD,CPI
30/10/2025,AUD,CPI
27/11/2025,AUD,CPI
18/12/2025,AUD,CPI
29/01/2026,AUD,CPI
26/02/2026,AUD,CPI
26/03/2026,AUD,CPI
30/04/2026,AUD,CPI
19/05/2025,NZD,CPI
17/06/2025,NZD,CPI
15/07/2025,NZD,CPI
19/08/2025,NZD,CPI
16/09/2025,NZD,CPI
21/10/2025,NZD,CPI
18/11/2025,NZD,CPI
16/12/2025,NZD,CPI
20/01/2026,NZD,CPI
17/02/2026,NZD,CPI
17/03/2026,NZD,CPI
21/04/2026,NZD,CPI
20/05/2025,CAD,CPI
24/06/2025,CAD,CPI
22/07/2025,CAD,CPI
19/08/2025,CAD,CPI
16/09/2025,CAD,CPI
21/10/2025,CAD,CPI
18/11/2025,CAD,CPI
16/12/2025,CAD,CPI
20/01/2026,CAD,CPI
17/02/2026,CAD,CPI
17/03/2026,CAD,CPI
21/04/2026,CAD,CPI
15/05/2025,PLN,CPI
14/06/2025,PLN,CPI
13/07/2025,PLN,CPI
14/08/2025,PLN,CPI
13/09/2025,PLN,CPI
14/10/2025,PLN,CPI
13/11/2025,PLN,CPI
14/12/2025,PLN,CPI
14/01/2026,PLN,CPI
14/02/2026,PLN,CPI
14/03/2026,PLN,CPI
14/04/2026,PLN,CPI
09/05/2025,HUF,CPI
10/06/2025,HUF,CPI
09/07/2025,HUF,CPI
09/08/2025,HUF,CPI
09/09/2025,HUF,CPI
09/10/2025,HUF,CPI
09/11/2025,HUF,CPI
09/12/2025,HUF,CPI
09/01/2026,HUF,CPI
09/02/2026,HUF,CPI
09/03/2026,HUF,CPI
09/04/2026,HUF,CPI
13/05/2025,CZK,CPI
10/06/2025,CZK,CPI
10/07/2025,CZK,CPI
10/08/2025,CZK,CPI
10/09/2025,CZK,CPI
10/10/2025,CZK,CPI
10/11/2025,CZK,CPI
10/12/2025,CZK,CPI
10/01/2026,CZK,CPI
10/02/2026,CZK,CPI
10/03/2026,CZK,CPI
10/04/2026,CZK,CPI
22/05/2025,ZAR,CPI
19/06/2025,ZAR,CPI
24/07/2025,ZAR,CPI
21/08/2025,ZAR,CPI
18/09/2025,ZAR,CPI
23/10/2025,ZAR,CPI
20/11/2025,ZAR,CPI
18/12/2025,ZAR,CPI
22/01/2026,ZAR,CPI
19/02/2026,ZAR,CPI
19/03/2026,ZAR,CPI
23/04/2026,ZAR,CPI
12/05/2025,DKK,CPI
10/06/2025,DKK,CPI
10/07/2025,DKK,CPI
10/08/2025,DKK,CPI
10/09/2025,DKK,CPI
10/10/2025,DKK,CPI
10/11/2025,DKK,CPI
10/12/2025,DKK,CPI
10/01/2026,DKK,CPI
10/02/2026,DKK,CPI
10/03/2026,DKK,CPI
10/04/2026,DKK,CPI
10/05/2025,NOK,CPI
10/06/2025,NOK,CPI
10/07/2025,NOK,CPI
10/08/2025,NOK,CPI
10/09/2025,NOK,CPI
10/10/2025,NOK,CPI
10/11/2025,NOK,CPI
10/12/2025,NOK,CPI
10/01/2026,NOK,CPI
10/02/2026,NOK,CPI
10/03/2026,NOK,CPI
10/04/2026,NOK,CPI
13/05/2025,SEK,CPI
12/06/2025,SEK,CPI
12/07/2025,SEK,CPI
12/08/2025,SEK,CPI
12/09/2025,SEK,CPI
12/10/2025,SEK,CPI
12/11/2025,SEK,CPI
12/12/2025,SEK,CPI
12/01/2026,SEK,CPI
12/02/2026,SEK,CPI
12/03/2026,SEK,CPI
12/04/2026,SEK,CPI
10/05/2025,BRL,CPI
10/06/2025,BRL,CPI
10/07/2025,BRL,CPI
10/08/2025,BRL,CPI
10/09/2025,BRL,CPI
10/10/2025,BRL,CPI
10/11/2025,BRL,CPI
10/12/2025,BRL,CPI
