date,currency,event
2025-04-30,JPY,Monetary Policy
2025-01-05,JPY,Monetary Policy
2025-06-05,USD,Monetary Policy
2025-06-05,EUR,Monetary Policy
2025-06-05,PLN,Monetary Policy
2025-07-05,EUR,Monetary Policy
2025-07-05,CZK,Monetary Policy
2025-07-05,USD,Monetary Policy
2025-08-05,NOK,Monetary Policy
2025-08-05,GBP,Monetary Policy
2025-05-19,AUD,Monetary Policy
2025-05-20,AUD,Monetary Policy
2025-05-29,ZAR,Monetary Policy
2025-03-06,PLN,Monetary Policy
2025-04-06,EUR,Monetary Policy
2025-04-06,CAD,Monetary Policy
2025-05-06,EUR,Monetary Policy
2025-06-16,JPY,Monetary Policy
2025-06-17,JPY,Monetary Policy
2025-06-17,USD,Monetary Policy
2025-06-17,SEK,Monetary Policy
2025-06-18,BRL,Monetary Policy
2025-06-18,USD,Monetary Policy
2025-06-19,GBP,Monetary Policy
2025-06-19,NOK,Monetary Policy
2025-06-19,CHF,Monetary Policy
2025-06-25,CZK,Monetary Policy
2025-06-25,HUF,Monetary Policy
2025-01-07,PLN,Monetary Policy
2025-07-07,AUD,Monetary Policy
2025-08-07,AUD,Monetary Policy
2025-07-23,EUR,Monetary Policy
2025-07-24,ZAR,Monetary Policy
2025-07-24,EUR,Monetary Policy
2025-07-29,USD,Monetary Policy
2025-07-30,JPY,Monetary Policy
2025-07-30,USD,Monetary Policy
2025-07-30,CAD,Monetary Policy
2025-07-31,JPY,Monetary Policy
2025-06-08,BRL,Monetary Policy
2025-07-08,CZK,Monetary Policy
2025-07-08,GBP,Monetary Policy
2025-11-08,AUD,Monetary Policy
2025-12-08,AUD,Monetary Policy
2025-08-13,NZD,Monetary Policy
2025-08-14,NOK,Monetary Policy
2025-08-26,PLN,Monetary Policy
2025-02-09,PLN,Monetary Policy
2025-03-09,SEK,Monetary Policy
2025-10-09,EUR,Monetary Policy
2025-11-09,EUR,Monetary Policy
2025-09-16,USD,Monetary Policy
2025-09-17,BRL,Monetary Policy
2025-09-17,CAD,Monetary Policy
2025-09-17,USD,Monetary Policy
2025-09-18,GBP,Monetary Policy
2025-09-18,JPY,Monetary Policy
2025-09-19,JPY,Monetary Policy
2025-09-19,ZAR,Monetary Policy
2025-09-23,HUF,Monetary Policy
2025-09-24,CZK,Monetary Policy
2025-09-25,CHF,Monetary Policy
2025-09-25,NOK,Monetary Policy
2025-09-29,AUD,Monetary Policy
2025-09-30,AUD,Monetary Policy
2025-01-10,NZD,Monetary Policy
2025-07-10,PLN,Monetary Policy
2025-10-28,USD,Monetary Policy
2025-10-29,EUR,Monetary Policy
2025-10-29,JPY,Monetary Policy
2025-10-29,CAD,Monetary Policy
2025-10-29,BRL,Monetary Policy
2025-10-29,USD,Monetary Policy
2025-10-30,EUR,Monetary Policy
2025-10-30,JPY,Monetary Policy
2025-03-11,AUD,Monetary Policy
2025-04-11,AUD,Monetary Policy
2025-04-11,PLN,Monetary Policy
2025-06-11,CZK,Monetary Policy
2025-06-11,NOK,Monetary Policy
2025-06-11,GBP,Monetary Policy
2025-11-21,ZAR,Monetary Policy
2025-11-26,SEK,Monetary Policy
2025-11-26,NZD,Monetary Policy
2025-02-12,PLN,Monetary Policy
2025-08-12,AUD,Monetary Policy
2025-09-12,USD,Monetary Policy
2025-09-12,AUD,Monetary Policy
2025-10-12,BRL,Monetary Policy
2025-10-12,USD,Monetary Policy
2025-10-12,CAD,Monetary Policy
2025-11-12,NOK,Monetary Policy
2025-11-12,CHF,Monetary Policy
2025-12-16,HUF,Monetary Policy
2025-12-17,SEK,Monetary Policy
2025-12-17,EUR,Monetary Policy
2025-12-18,GBP,Monetary Policy
2025-12-18,JPY,Monetary Policy
2025-12-18,EUR,Monetary Policy
2025-12-18,CZK,Monetary Policy
2025-12-19,JPY,Monetary Policy
2026-01-21,BRL,Monetary Policy
2026-01-23,ZAR,Monetary Policy
2026-04-03,BRL,Monetary Policy
2026-03-20,ZAR,Monetary Policy
2026-04-15,BRL,Monetary Policy
2025-01-01,USD,New Year's Day
2025-01-20,USD,Martin Luther King Jr. Day
2025-02-17,USD,Presidents' Day
2025-05-26,USD,Memorial Day
2025-04-07,USD,Independence Day
2025-01-09,USD,Labor Day
2025-10-13,USD,Columbus Day
2025-11-11,USD,Veterans Day
2025-11-27,USD,Thanksgiving Day
2025-12-25,USD,Christmas Day
2026-01-01,USD,New Year's Day
2026-01-19,USD,Martin Luther King Jr. Day
2026-02-16,USD,Presidents' Day
2026-05-25,USD,Memorial Day
2026-04-07,USD,Independence Day
2026-07-09,USD,Labor Day
2026-12-10,USD,Columbus Day
2026-11-11,USD,Veterans Day
2026-11-26,USD,Thanksgiving Day
2026-12-25,USD,Christmas Day
2025-01-01,GBP,New Year's Day
2025-04-18,GBP,Good Friday
2025-04-21,GBP,Easter Monday
2025-05-05,GBP,Early May Bank Holiday
2025-05-26,GBP,Spring Bank Holiday
2025-08-25,GBP,Summer Bank Holiday
2025-12-25,GBP,Christmas Day
2025-12-26,GBP,Boxing Day
2026-01-01,GBP,New Year's Day
2026-03-04,GBP,Good Friday
2026-06-04,GBP,Easter Monday
2026-04-05,GBP,Early May Bank Holiday
2026-05-25,GBP,Spring Bank Holiday
2026-08-31,GBP,Summer Bank Holiday
2026-12-25,GBP,Christmas Day
2025-01-01,EUR,New Year's Day
2025-04-18,EUR,Good Friday
2025-04-21,EUR,Easter Monday
2025-01-05,EUR,Labour Day
2025-09-05,EUR,Europe Day
2025-05-29,EUR,Ascension Day
2025-09-06,EUR,Whit Monday
2025-12-25,EUR,Christmas Day
2025-12-26,EUR,St. Stephen's Day
2026-01-01,EUR,New Year's Day
2026-03-04,EUR,Good Friday
2026-06-04,EUR,Easter Monday
2026-01-05,EUR,Labour Day
2026-09-05,EUR,Europe Day
2026-05-14,EUR,Ascension Day
2026-05-25,EUR,Whit Monday
2026-12-25,EUR,Christmas Day
2026-12-26,EUR,St. Stephen's Day
2025-01-01,JPY,New Year's Day
2025-01-13,JPY,Coming of Age Day
2025-11-02,JPY,National Foundation Day
2025-02-23,JPY,Emperor's Birthday
2025-04-29,JPY,Shōwa Day
2025-03-05,JPY,Constitution Memorial Day
2025-04-05,JPY,Greenery Day
2025-05-05,JPY,Children’s Day
2025-09-15,JPY,Respect for the Aged Day
2025-09-23,JPY,Autumn Equinox
2025-03-11,JPY,Culture Day
2025-11-23,JPY,Labour Thanksgiving Day
2026-01-01,JPY,New Year's Day
2026-12-01,JPY,Coming of Age Day
2026-11-02,JPY,National Foundation Day
2026-02-23,JPY,Emperor’s Birthday
2026-04-29,JPY,Shōwa Day
2026-03-05,JPY,Constitution Memorial Day
2026-04-05,JPY,Greenery Day
2026-05-05,JPY,Children’s Day
2026-09-21,JPY,Respect for the Aged Day
2026-09-23,JPY,Autumn Equinox
2026-03-11,JPY,Culture Day
2026-11-23,JPY,Labour Thanksgiving Day
2025-01-01,CHF,New Year’s Day
2025-02-01,CHF,Berchtold Day
2025-06-01,CHF,Epiphany
2025-03-19,CHF,St. Joseph’s Day
2025-04-18,CHF,Good Friday
2025-04-21,CHF,Easter Monday
2025-01-05,CHF,Labour Day
2025-05-29,CHF,Ascension Day
2025-09-06,CHF,Whit Monday
2025-08-15,CHF,Assumption Day
2025-01-11,CHF,All Saints’ Day
2025-08-12,CHF,Immaculate Conception
2025-12-25,CHF,Christmas Day
2025-12-26,CHF,St. Stephen’s Day
2026-01-01,CHF,New Year’s Day
2026-02-01,CHF,Berchtold Day
2026-06-01,CHF,Epiphany
2026-03-19,CHF,St. Joseph’s Day
2026-03-04,CHF,Good Friday
2026-06-04,CHF,Easter Monday
2026-01-05,CHF,Labour Day
2026-05-14,CHF,Ascension Day
2026-05-25,CHF,Whit Monday
2026-08-15,CHF,Assumption Day
2026-01-11,CHF,All Saints’ Day
2026-08-12,CHF,Immaculate Conception
2026-12-25,CHF,Christmas Day
2026-12-26,CHF,St. Stephen’s Day
2025-01-01,AUD,New Year’s Day
2025-01-27,AUD,Australia Day observed
2025-04-18,AUD,Good Friday
2025-04-21,AUD,Easter Monday
2025-04-25,AUD,ANZAC Day
2025-09-06,AUD,King’s Birthday
2025-12-25,AUD,Christmas Day
2025-12-26,AUD,Boxing Day
2026-01-01,AUD,New Year’s Day
2026-01-26,AUD,Australia Day
2026-03-04,AUD,Good Friday
2026-06-04,AUD,Easter Monday
2026-04-25,AUD,ANZAC Day
2026-08-06,AUD,King’s Birthday
2026-12-25,AUD,Christmas Day
2026-12-26,AUD,Boxing Day
2025-01-01,NZD,New Year’s Day
2025-02-01,NZD,Day After New Year’s Day
2025-06-02,NZD,Waitangi Day
2025-04-18,NZD,Good Friday
2025-04-21,NZD,Easter Monday
2025-04-25,NZD,ANZAC Day
2025-02-06,NZD,King’s Birthday
2025-06-20,NZD,Matariki
2025-10-27,NZD,Labour Day
2025-12-25,NZD,Christmas Day
2025-12-26,NZD,Boxing Day
2026-01-01,NZD,New Year’s Day
2026-02-01,NZD,Day After New Year’s Day
2026-06-02,NZD,Waitangi Day
2026-03-04,NZD,Good Friday
2026-06-04,NZD,Easter Monday
2026-04-25,NZD,ANZAC Day
2026-01-06,NZD,King’s Birthday
2026-10-07,NZD,Matariki
2026-10-26,NZD,Labour Day
2026-12-25,NZD,Christmas Day
2026-12-26,NZD,Boxing Day
2025-01-01,CAD,New Year’s Day
2025-04-18,CAD,Good Friday
2025-04-21,CAD,Easter Monday
2025-05-19,CAD,Victoria Day
2025-01-07,CAD,Canada Day
2025-04-08,CAD,Civic Holiday
2025-01-09,CAD,Labour Day
2025-10-13,CAD,Thanksgiving Day
2025-11-11,CAD,Remembrance Day
2025-12-25,CAD,Christmas Day
2025-12-26,CAD,Boxing Day
2026-01-01,CAD,New Year’s Day
2026-03-04,CAD,Good Friday
2026-06-04,CAD,Easter Monday
2026-05-18,CAD,Victoria Day
2026-01-07,CAD,Canada Day
2026-03-08,CAD,Civic Holiday
2026-07-09,CAD,Labour Day
2026-12-10,CAD,Thanksgiving Day
2026-11-11,CAD,Remembrance Day
2026-12-25,CAD,Christmas Day
2026-12-26,CAD,Boxing Day
2025-01-01,PLN,New Year's Day
2025-01-06,PLN,Epiphany
2025-05-01,PLN,Labour Day
2025-05-03,PLN,Constitution Day
2025-06-19,PLN,Corpus Christi
2025-08-15,PLN,Assumption
2025-11-01,PLN,All Saints’ Day
2025-11-11,PLN,Independence Day
2025-12-25,PLN,Christmas
2025-12-26,PLN,Second Day of Christmas
2026-01-01,PLN,New Year's Day
2026-01-06,PLN,Epiphany
2026-05-01,PLN,Labour Day
2026-05-03,PLN,Constitution Day
2026-05-30,PLN,Corpus Christi
2026-08-15,PLN,Assumption
2026-11-01,PLN,All Saints’ Day
2026-11-11,PLN,Independence Day
2026-12-25,PLN,Christmas
2026-12-26,PLN,Second Day of Christmas
2025-01-01,HUF,New Year's Day
2025-03-15,HUF,Revolution Day
2025-04-18,HUF,Good Friday
2025-04-21,HUF,Easter Monday
2025-05-01,HUF,Labour Day
2025-08-20,HUF,St. Stephen’s Day
2025-10-23,HUF,Republic Day
2025-12-25,HUF,Christmas
2025-12-26,HUF,Second Day of Christmas
2026-01-01,HUF,New Year's Day
2026-03-15,HUF,Revolution Day
2026-04-03,HUF,Good Friday
2026-04-06,HUF,Easter Monday
2026-05-01,HUF,Labour Day
2026-08-20,HUF,St. Stephen’s Day
2026-10-23,HUF,Republic Day
2026-12-25,HUF,Christmas
2026-12-26,HUF,Second Day of Christmas
